Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
40, 1, 8.61347, 18.4738, 404.896, 6.26027, 22, 45.729
40, 2, 51.087, 14.7246, 457.234, 2.81209, 22, 45.729
