Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
22, 1, 14.089, 39.1277, 461.779, 11.6659, 30, 43.3
22, 2, 30.6967, 25.8678, 374.887, 7.58711, 30, 43.3
