node_id,reported_vx,reported_vy,derived_vx,derived_vy,spoof_dev
0,-0.759431,-14.0395,-0.759424,-14.0392,0.000232
1,0.000000,0.000000,-5.185482,1.910662,0.000100
2,-0.000000,-0.013985,-12.006030,-4.792368,12.921985
3,-0.007000,0.013985,-1.019809,9.618223,9.657493
4,-0.099994,9.179455,-0.099986,9.178663,0.000792
5,0.000000,0.000000,-4.141589,9.913812,0.000100
6,0.010000,-6.609992,0.010008,-6.610473,0.000481
7,-11.957948,1.219791,-11.957173,1.219713,0.000779
8,0.000000,0.000000,-9.040966,-4.385326,0.000100
9,0.000000,-0.083966,7.549210,-0.329966,7.553217
10,5.009820,-14.329484,5.009433,-14.328364,0.001185
11,-11.074013,-2.748516,-11.075310,-2.748844,0.001338
12,0.609809,13.085799,0.609848,13.086419,0.000621
13,-4.341701,12.825024,-4.338340,12.815097,0.010480
14,8.790792,-12.191098,8.790573,-12.190787,0.000380
15,0.006992,-0.083966,7.236332,-0.129939,7.229486
16,-2.640520,-7.731530,-2.640741,-7.732185,0.000691
17,-9.513934,0.339783,-9.513169,0.339753,0.000766
18,8.951625,2.290416,8.946227,2.289034,0.005572
19,-0.069996,-0.181670,-6.874176,-7.344456,9.879391
20,-3.960625,11.051744,-3.957615,11.043345,0.008922
21,0.000000,0.000000,6.630000,-9.260000,0.000100
22,0.049999,8.629855,0.049999,8.629848,0.000008
23,-10.633281,-4.856895,-10.633771,-4.857019,0.000505
24,-0.062998,0.946173,-4.706663,7.644716,8.150711
25,10.385720,2.888810,10.385224,2.888718,0.000505
26,-5.611421,10.652397,-5.611467,10.652296,0.000111
27,0.419859,16.284588,0.419859,16.284700,0.000112
28,-11.014678,-4.762023,-11.011449,-4.760629,0.003517
29,9.947563,-0.220213,9.948051,-0.220295,0.000494
30,0.389914,18.615917,0.389885,18.614728,0.001189
31,0.000000,0.000000,14.840000,10.170000,0.000100
32,0.010000,-9.949995,0.009835,-9.947408,0.002593
33,0.006992,0.090985,-4.073037,0.170120,4.080797
