Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
19, 1, 13.932, 22.9925, 449.95, 6.54463, 38, 44.781
19, 2, 29.6452, 34.2027, 151.08, 30.4121, 38, 44.781
