time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,trust_score,cnn_conf
49.0000,57,189,11,23,0.7125,0.0550,0.8382,0.7703,0.6927,172.5000,0.2875,0.7125,0.2875,0.9450,0.8675,24.0767,0.6336,0.4436
49.5000,61,190,10,19,0.7625,0.0500,0.8592,0.8079,0.7398,142.5000,0.2375,0.7625,0.2375,0.9500,0.8875,23.3196,0.6157,0.4257
50.0000,56,190,10,24,0.7000,0.0500,0.8485,0.7671,0.6918,180.0000,0.3000,0.7000,0.3000,0.9500,0.8667,26.2214,0.6153,0.4253
50.5000,58,191,9,22,0.7250,0.0450,0.8657,0.7891,0.7200,165.0000,0.2750,0.7250,0.2750,0.9550,0.8783,22.9431,0.6482,0.4582
51.0000,48,194,6,32,0.6000,0.0300,0.8889,0.7164,0.6527,240.0000,0.4000,0.6000,0.4000,0.9700,0.8467,27.3263,0.6446,0.4546
51.5000,48,187,13,32,0.6000,0.0650,0.7869,0.6809,0.5855,240.0000,0.4000,0.6000,0.4000,0.9350,0.8233,27.3362,0.6278,0.4378
52.0000,57,188,12,23,0.7125,0.0600,0.8261,0.7651,0.6840,172.5000,0.2875,0.7125,0.2875,0.9400,0.8642,23.4675,0.6127,0.4227
52.5000,61,190,10,19,0.7625,0.0500,0.8592,0.8079,0.7398,142.5000,0.2375,0.7625,0.2375,0.9500,0.8875,25.6962,0.6363,0.4463
53.0000,47,190,10,33,0.5875,0.0500,0.8246,0.6861,0.6030,247.5000,0.4125,0.5875,0.4125,0.9500,0.8292,23.6943,0.6218,0.4318
53.5000,62,190,10,18,0.7750,0.0500,0.8611,0.8158,0.7494,135.0000,0.2250,0.7750,0.2250,0.9500,0.8917,26.9644,0.6152,0.4252
54.0000,59,190,10,21,0.7375,0.0500,0.8551,0.7919,0.7207,157.5000,0.2625,0.7375,0.2625,0.9500,0.8792,22.6318,0.6154,0.4254
54.5000,61,189,11,19,0.7625,0.0550,0.8472,0.8026,0.7313,142.5000,0.2375,0.7625,0.2375,0.9450,0.8842,27.9395,0.6346,0.4446
55.0000,52,188,12,28,0.6500,0.0600,0.8125,0.7222,0.6347,210.0000,0.3500,0.6500,0.3500,0.9400,0.8433,26.3546,0.6180,0.4280
55.5000,58,191,9,22,0.7250,0.0450,0.8657,0.7891,0.7200,165.0000,0.2750,0.7250,0.2750,0.9550,0.8783,27.8981,0.6406,0.4506
56.0000,55,192,8,25,0.6875,0.0400,0.8730,0.7692,0.7005,187.5000,0.3125,0.6875,0.3125,0.9600,0.8692,23.1176,0.6241,0.4341
56.5000,52,191,9,28,0.6500,0.0450,0.8525,0.7376,0.6621,210.0000,0.3500,0.6500,0.3500,0.9550,0.8533,22.5682,0.6196,0.4296
57.0000,64,190,10,16,0.8000,0.0500,0.8649,0.8312,0.7684,120.0000,0.2000,0.8000,0.2000,0.9500,0.9000,23.1761,0.6239,0.4339
57.5000,57,189,11,23,0.7125,0.0550,0.8382,0.7703,0.6927,172.5000,0.2875,0.7125,0.2875,0.9450,0.8675,22.4883,0.6200,0.4300
58.0000,47,190,10,33,0.5875,0.0500,0.8246,0.6861,0.6030,247.5000,0.4125,0.5875,0.4125,0.9500,0.8292,23.8759,0.6124,0.4224
58.5000,61,189,11,19,0.7625,0.0550,0.8472,0.8026,0.7313,142.5000,0.2375,0.7625,0.2375,0.9450,0.8842,25.7731,0.6229,0.4329
59.0000,57,187,13,23,0.7125,0.0650,0.8143,0.7600,0.6755,172.5000,0.2875,0.7125,0.2875,0.9350,0.8608,24.6704,0.6209,0.4309
59.5000,49,195,5,31,0.6125,0.0250,0.9074,0.7313,0.6727,232.5000,0.3875,0.6125,0.3875,0.9750,0.8542,24.8865,0.6257,0.4357
60.0000,62,193,7,18,0.7750,0.0350,0.8986,0.8322,0.7758,135.0000,0.2250,0.7750,0.2250,0.9650,0.9017,23.2567,0.6120,0.4220
60.5000,58,190,10,22,0.7250,0.0500,0.8529,0.7838,0.7111,165.0000,0.2750,0.7250,0.2750,0.9500,0.8750,27.7759,0.6170,0.4270
61.0000,58,185,15,22,0.7250,0.0750,0.7945,0.7582,0.6688,165.0000,0.2750,0.7250,0.2750,0.9250,0.8583,27.4164,0.6371,0.4471
61.5000,67,192,8,13,0.8375,0.0400,0.8933,0.8645,0.8135,97.5000,0.1625,0.8375,0.1625,0.9600,0.9192,25.9889,0.6341,0.4441
62.0000,55,192,8,25,0.6875,0.0400,0.8730,0.7692,0.7005,187.5000,0.3125,0.6875,0.3125,0.9600,0.8692,22.3894,0.6163,0.4263
62.5000,60,190,10,20,0.7500,0.0500,0.8571,0.8000,0.7303,150.0000,0.2500,0.7500,0.2500,0.9500,0.8833,24.9918,0.6143,0.4243
