Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
9, 1, 6.63886, 27.0909, 435.072, 10.7306, 14, 44.824
9, 2, 21.6829, 6.67145, 327.916, 3.16133, 14, 44.824
