Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
48, 1, 5.24328, 0, 0, 0, 48, 49.075
48, 2, 28.6837, 16.5982, 421.713, 1.25733, 48, 49.075
