Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
21, 1, 6.8267, 0, 0, 0, 22, 47.822
21, 2, 19.8524, 30.0246, 222.087, 3.869, 22, 47.822
