Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
14, 1, 6.4951, 39.274, 462.854, 0, 20, 46.749
14, 2, 8.42607, 12.0477, 401.141, 3.6334, 20, 46.749
