cycle_id,sim_time_s,flow_id,flow_source,flow_destination,forwarding_node_id,forwarding_node_type,next_hop_id,next_hop_type,unique_inbound_count,unique_outbound_to_next_hop,observed_ff,expected_ff_planned,ff_deviation
20,21.0001,0,70,68,3,VEHICLE,249,RSU,5,1,0.2000,0.1429,0.0571
20,21.0001,0,70,68,38,VEHICLE,241,RSU,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,44,VEHICLE,240,RSU,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,67,VEHICLE,75,VEHICLE,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,75,VEHICLE,3,VEHICLE,5,5,1.0000,0.4167,0.5833
20,21.0001,0,70,68,110,RSU,44,VEHICLE,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,111,RSU,6,VEHICLE,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,112,RSU,262,RSU,1,1,1.0000,0.2500,0.7500
20,21.0001,0,70,68,122,RSU,1,VEHICLE,1,1,1.0000,0.0000,1.0000
20,21.0001,0,70,68,132,RSU,1,VEHICLE,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,143,RSU,75,VEHICLE,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,154,RSU,75,VEHICLE,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,193,RSU,6,VEHICLE,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,195,RSU,1,VEHICLE,1,1,1.0000,0.0000,1.0000
20,21.0001,0,70,68,198,RSU,251,RSU,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,241,RSU,195,RSU,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,250,RSU,75,VEHICLE,1,1,1.0000,1.0000,0.0000
20,21.0001,0,70,68,262,RSU,6,VEHICLE,1,1,1.0000,0.5000,0.5000
20,21.0001,1,318,194,2,VEHICLE,184,RSU,13,13,1.0000,1.0000,0.0000
20,21.0001,1,318,194,13,VEHICLE,127,RSU,1,1,1.0000,0.1429,0.8571
20,21.0001,1,318,194,31,VEHICLE,94,RSU,1,1,1.0000,0.0000,1.0000
20,21.0001,1,318,194,45,VEHICLE,91,RSU,3,3,1.0000,1.0000,0.0000
20,21.0001,1,318,194,52,VEHICLE,86,RSU,7,7,1.0000,1.0000,0.0000
20,21.0001,1,318,194,64,VEHICLE,139,RSU,1,1,1.0000,1.0000,0.0000
20,21.0001,1,318,194,69,VEHICLE,133,RSU,2,2,1.0000,1.0000,0.0000
20,21.0001,1,318,194,73,VEHICLE,168,RSU,1,1,1.0000,1.0000,0.0000
20,21.0001,1,318,194,86,RSU,172,RSU,8,8,1.0000,1.0000,0.0000
20,21.0001,1,318,194,90,RSU,52,VEHICLE,6,6,1.0000,1.0000,0.0000
20,21.0001,1,318,194,91,RSU,2,VEHICLE,19,13,0.6842,0.4545,0.2297
20,21.0001,1,318,194,91,RSU,171,RSU,19,3,0.1579,0.2727,-0.1148
20,21.0001,1,318,194,91,RSU,284,RSU,19,3,0.1579,0.2727,-0.1148
20,21.0001,1,318,194,92,RSU,45,VEHICLE,12,1,0.0833,0.2000,-0.1167
20,21.0001,1,318,194,92,RSU,91,RSU,12,9,0.7500,0.4000,0.3500
20,21.0001,1,318,194,92,RSU,101,RSU,12,1,0.0833,0.2000,-0.1167
20,21.0001,1,318,194,92,RSU,285,RSU,12,1,0.0833,0.2000,-0.1167
20,21.0001,1,318,194,94,RSU,139,RSU,2,1,0.5000,0.1667,0.3333
20,21.0001,1,318,194,94,RSU,184,RSU,2,1,0.5000,0.1667,0.3333
20,21.0001,1,318,194,101,RSU,91,RSU,1,1,1.0000,1.0000,0.0000
20,21.0001,1,318,194,106,RSU,142,RSU,1,1,1.0000,0.0000,1.0000
20,21.0001,1,318,194,109,RSU,194,RSU,4,4,1.0000,1.0000,0.0000
20,21.0001,1,318,194,121,RSU,171,RSU,1,1,1.0000,1.0000,0.0000
20,21.0001,1,318,194,133,RSU,90,RSU,6,6,1.0000,0.0000,1.0000
20,21.0001,1,318,194,139,RSU,261,RSU,13,10,0.7692,0.6667,0.1026
20,21.0001,1,318,194,139,RSU,271,RSU,13,3,0.2308,0.3333,-0.1026
20,21.0001,1,318,194,142,RSU,172,RSU,8,1,0.1250,0.1429,-0.0179
20,21.0001,1,318,194,142,RSU,177,RSU,8,1,0.1250,0.1429,-0.0179
20,21.0001,1,318,194,142,RSU,190,RSU,8,1,0.1250,0.1429,-0.0179
20,21.0001,1,318,194,142,RSU,295,RSU,8,4,0.5000,0.4286,0.0714
