Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
16, 1, 10.2171, 20.5371, 462.015, 3.39647, 38, 58.676
16, 2, 28.5217, 25.1493, 425.371, 3.61691, 38, 58.676
