cycle,flow_id,node,planned_inbound_by_subflow,planned_inbound_by_mainflow
14,1,1,2,2
14,1,3,8,8
14,1,6,9,9
14,1,12,2,2
14,1,14,11,11
14,1,20,1,1
14,1,21,13,13
14,1,23,1,1
14,1,24,2,2
14,1,26,1,1
14,1,27,2,2
14,1,28,1,1
14,1,30,10,10
14,1,34,1,1
14,1,36,5,5
14,1,38,2,2
14,1,40,3,3
14,1,41,7,7
14,1,42,1,1
14,1,44,2,2
14,1,46,9,9
14,1,51,1,1
14,1,56,1,1
14,1,59,1,1
14,1,60,1,1
14,1,63,5,5
14,1,67,2,2
14,1,70,30,30
14,1,71,1,1
14,1,72,1,1
14,1,75,6,6
14,1,76,1,1
14,1,77,7,7
14,1,78,3,3
14,1,93,1,1
14,1,105,1,1
14,1,108,14,14
14,1,109,1,1
14,1,110,2,2
14,1,111,5,5
14,1,114,1,1
14,1,116,1,1
14,1,118,4,4
14,1,120,1,1
14,1,122,3,3
14,1,123,2,2
14,1,124,6,6
14,1,125,1,1
14,1,129,8,8
14,1,132,2,2
14,1,134,16,16
14,1,136,1,1
14,1,140,1,1
14,1,141,13,13
14,1,143,3,3
14,1,146,1,1
14,1,148,1,1
14,1,151,1,1
14,1,154,3,3
14,1,155,3,3
14,1,162,4,4
14,1,164,1,1
14,1,165,2,2
14,1,175,1,1
14,1,180,11,11
14,1,183,1,1
14,1,188,2,2
14,1,189,1,1
14,1,193,8,8
14,1,194,11,11
14,1,195,5,5
14,1,196,1,1
14,1,197,5,5
14,1,198,5,5
14,1,216,1,1
14,1,225,1,1
14,1,226,1,1
14,1,227,1,1
14,1,228,1,1
14,1,230,1,1
14,1,235,1,1
14,1,236,1,1
14,1,237,1,1
14,1,238,2,2
14,1,239,6,6
14,1,240,3,3
14,1,241,1,1
14,1,246,1,1
14,1,247,6,6
14,1,248,7,7
14,1,249,14,14
14,1,250,16,16
14,1,251,9,9
14,1,252,1,1
14,1,257,5,5
14,1,258,8,8
14,1,259,1,1
14,1,268,1,1
14,1,269,1,1
14,1,270,1,1
14,2,1,4,4
14,2,12,2,2
14,2,25,7,7
14,2,27,18,18
14,2,28,7,7
14,2,30,1,1
14,2,38,1,1
14,2,42,2,2
14,2,44,4,4
14,2,60,15,15
14,2,67,6,6
14,2,70,2,2
14,2,75,1,1
14,2,76,16,16
14,2,87,5,5
14,2,105,6,6
14,2,110,7,7
14,2,118,2,2
14,2,122,6,6
14,2,123,10,10
14,2,125,14,14
14,2,132,31,31
14,2,140,2,2
14,2,143,3,3
14,2,148,10,10
14,2,151,7,7
14,2,154,2,2
14,2,155,8,8
14,2,164,3,3
14,2,188,2,2
14,2,195,10,10
14,2,198,2,2
14,2,216,3,3
14,2,226,1,1
14,2,227,7,7
14,2,228,17,17
14,2,229,8,8
14,2,230,2,2
14,2,238,1,1
14,2,239,3,3
14,2,240,3,3
14,2,241,2,2
14,2,250,1,1
14,2,251,1,1
14,2,252,3,3
